decision_date,effective_start_date,effective_end_date,window_start_date,window_end_date,window_observations,fund_id,universe,method,solver,one_way_turnover,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight
2023-05-31,2023-06-01,2023-06-30,2020-01-02,2023-05-31,1246,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.04730481086647001,0.6291558599828279,2.071354374132291,,
2023-06-30,2023-07-01,2023-07-31,2020-01-02,2023-06-30,1276,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.050962976099678446,0.7108342595048237,1.8219694690206716,,
2023-07-31,2023-08-01,2023-08-31,2020-01-02,2023-07-31,1307,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.03355127447669663,0.6580771517830949,2.0491850320378453,,
2023-08-31,2023-09-01,2023-09-30,2020-01-02,2023-08-31,1338,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.033462320974830484,0.6584294084239993,2.032968949536013,,
2023-09-30,2023-10-01,2023-10-31,2020-01-02,2023-09-30,1368,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.033290100519646086,0.6270977823835605,2.1504690064478083,,
2023-10-31,2023-11-01,2023-11-30,2020-01-02,2023-10-31,1399,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.015086983082518666,0.6050767928078646,2.245245089079674,,
2023-11-30,2023-12-01,2023-12-31,2020-01-02,2023-11-30,1429,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.027696410427751512,0.5806493082797201,2.3510721365816214,,
2020-12-31,2021-01-01,2021-01-31,2020-01-02,2020-12-31,365,crypto_minimum_variance,Crypto,minimum_variance,SLSQP,,0.9053457244484795,1.2133156768665878,,
2021-01-31,2021-02-01,2021-02-28,2020-01-02,2021-01-31,396,crypto_minimum_variance,Crypto,minimum_variance,SLSQP,0.06858604578196331,0.8397914791146306,1.3862240968697874,,
2021-02-28,2021-03-01,2021-03-31,2020-01-02,2021-02-28,424,crypto_minimum_variance,Crypto,minimum_variance,SLSQP,0.044230545845481264,0.8479133832091478,1.3686018872010597,,
