decision_date,effective_start_date,effective_end_date,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,one_way_turnover,one_way_active_shift_from_base,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight,earliest_signal_source_date,latest_signal_source_date,variant_label
2021-11-30,2021-12-01,2021-12-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.05141537716228563,0.04508499156089055,0.22900696605121548,7.827115584863935,0.9999999999999999,0.0,2021-11-29,2021-11-29,Coverage-Aware Rank Sentiment
2021-12-31,2022-01-03,2022-01-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.05899583378969523,0.02575755061013587,0.22308291754733584,8.224418984173992,1.0,0.0,2021-12-30,2021-12-30,Coverage-Aware Rank Sentiment
2022-01-31,2022-02-01,2022-02-28,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.07757200284759656,0.05349055861345547,0.2040816010720663,8.30342442898548,0.9999999999999996,0.0,2022-01-28,2022-01-28,Coverage-Aware Rank Sentiment
2022-02-28,2022-03-01,2022-03-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.09900257838800715,0.0576238307986751,0.2282827657468241,8.364603681963443,1.0,0.0,2022-02-25,2022-02-25,Coverage-Aware Rank Sentiment
2022-03-31,2022-04-01,2022-04-29,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.08666564130497588,0.03609579532443728,0.20596260452383036,8.513311058487554,0.9999999999999998,0.0,2022-03-30,2022-03-30,Coverage-Aware Rank Sentiment
2022-04-29,2022-05-02,2022-05-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.049655329175305976,0.032199231319648094,0.22815738393140944,8.309284147507476,1.0,0.0,2022-04-28,2022-04-28,Coverage-Aware Rank Sentiment
2022-05-31,2022-06-01,2022-06-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.08038504866561147,0.051856750261827095,0.21243648536804458,8.703594078603873,0.9999999999999999,0.0,2022-05-27,2022-05-27,Coverage-Aware Rank Sentiment
2022-06-30,2022-07-01,2022-07-29,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.09642107855483226,0.06439784732803053,0.16042762905122346,8.818390418038742,1.0000000000000002,0.0,2022-06-29,2022-06-29,Coverage-Aware Rank Sentiment
2022-07-29,2022-08-01,2022-08-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.055154581941044875,0.0336172411856119,0.17957111352543736,8.871414315105005,1.0000000000000002,0.0,2022-07-28,2022-07-28,Coverage-Aware Rank Sentiment
2022-08-31,2022-09-01,2022-09-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.06602292594523834,0.0514509997639712,0.21587539603338068,8.406189855889938,0.9999999999999999,0.0,2022-08-30,2022-08-30,Coverage-Aware Rank Sentiment
2022-09-30,2022-10-03,2022-10-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.049580672154915365,0.05207380497716127,0.20584519041275454,8.488363301084002,0.9999999999999999,0.0,2022-09-29,2022-09-29,Coverage-Aware Rank Sentiment
2022-10-31,2022-11-01,2022-11-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.07523832735182534,0.05124929091700633,0.17066132788626923,8.978135861896888,1.0,0.0,2022-10-28,2022-10-28,Coverage-Aware Rank Sentiment
2022-11-30,2022-12-01,2022-12-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.05131155014793739,0.03417388297660029,0.18907295083419887,8.63135915728826,1.0000000000000004,0.0,2022-11-29,2022-11-29,Coverage-Aware Rank Sentiment
